掲載状態,ブランド,車種,グレード,グレード付加情報,ドア,排気量,燃料,車両本体価格,支払総額,年式,車検,リサイクル,走行,色,保証,整備,修復歴,4WD,ナビ,バックカメラ,Bluetooth,ETC,ETC2.0,スマートキー,両側電動スライドドア,電動スライドドア,3列シート,定員4人,定員5人,定員7人,定員8人
掲載,スバル,インプレッサスポーツ,２．０ｉ－Ｌアイサイト,４ＷＤ　ディーラーＯＰインプレッサ専用８インチナビ　ＬＥＤアクセサリーライナー　純正アルミ　アダプティブクルコン　リアフォグ　パドルシフト　ＥＴＣ２．０　フルセグ　Ｂｌｕｅｔｏｏｔｈ　ＳＲＶＤ,5D,2.0,G|無鉛レギュラーガソリン,93万円,103.2万円,2017年,車検整備付,リ済込,8.3万K,クリスタルホワイトパール,保証付　期間条件有り,整備付,無し,○,×,○,○,×,○,○,×,×,×,×,○,×,×
掲載,トヨタ,レジアスエースバン,スーパーＧＬ　ダークプライム,４ＷＤ　ベッドキット　オプションカラー　フリップダウンモニター　両側電動スライドドア　バックモニター　バックカメラ　社外ナビ　社外モニター　Ｂｌｕｅｔｏｏｔｈ　社外ＡＷ　社外コンソールボックス　ＥＴＣ,5D,2.7,G|無鉛レギュラーガソリン,228.5万円,232.3万円,2017年,車検整備付,リ済込,14.9万K,スパークリングブラックパールクリスタルシャイン,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,○,×,×,×,○,×,×
掲載,日産,ＮＶ３５０キャラバンバン,ロングプレミアムＧＸターボ,ワンオーナー　切替式４ＷＤ　ディーゼルターボ　エンジンスターター　社外１７インチＡＷ＋夏タイヤセット積込　純正ＯＰＬＥＤデイライト　アラウンドビュー　社外ナビ　フルセグ　社外ＡＷ＋スタットレス着用,5D,2.5,D|軽油,206.3万円,212.3万円,2020年,車検整備付,リ済込,15.2万K,ファントムブラックパール,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
掲載,日産,エクストレイル,２０Ｘ　エマージェンシーブレーキパッケージ,４ＷＤ　７人乗り　オプションカラー　フルセグナビ　Ｂｌｕｅｔｏｏｔｈ　バックカメラ　ルーフレール　前席シートヒーター　ＥＴＣ　パーキングソナー　マルチインフォディスプレイ　純正１７インチアルミホイール,5D,2.0,G|無鉛レギュラーガソリン,136.2万円,143.2万円,2016年,検2027年09月,リ済込,4.6万K,ダイヤモンドブラックＰ,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,○,×,×,○,×
掲載,三菱,ｅＫクロス,Ｔ,４ＷＤ　ハイブリッド　ターボ　純正９インチナビ　デジタルインナーミラー　アラウンドビューモニター　前席シートヒーター　セーフティシールド　純正１５インチアルミ　フルセグ　Ｂｌｕｅｔｏｏｔｈ　フォグ,5D,660,G|無鉛レギュラーガソリン,134.4万円,138.3万円,2019年,車検整備付,リ済込,5.2万K,ホワイトパール,保証付　期間条件有り,整備付,無し,○,×,○,○,×,×,○,×,×,×,○,×,×,×
掲載,スズキ,ワゴンＲスマイル,ハイブリッドＳ,４ＷＤ　ハイブリッド　ツートーン　全方位モニター　純正ＯＰ９インチナビ　前席シートヒーター　ＵＳＢポート　ヘッドアップディスプレイ　アダプティブクルコン　電動スライドドア　フルセグ　Ｂｌｕｅｔｏｏｔｈ,5D,660,G|無鉛レギュラーガソリン,201.8万円,205.2万円,2025年,検2028年05月,リ済込,0.3万K,ソフトベージュＭ／トープグレー,保証付　期限条件有り,整備付,無し,○,×,×,○,×,×,○,×,×,×,○,×,×,×
掲載,トヨタ,ヴォクシー,ＺＳ　煌ＩＩ,４ＷＤ　純正１０インチナビ　フリップダウンモニター　純正エンジンスターター　ＴＶキット　両側電動スライドドア　クルコン　フルセグ　Ｂｌｕｅｔｏｏｔｈ　ＵＳＢポート　シートバックテーブル　車線逸脱防止,5D,2.0,G|無鉛レギュラーガソリン,218.8万円,229.3万円,2019年,車検整備付,リ済込,9.5万K,ホワイトパールクリスタルシャイン,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,○,×,○,×,×,○,×
掲載,トヨタ,タンク,カスタムＧ,４ＷＤ　オプションツートンカラー　両側電動スライドドア　ＬＥＤヘッドライト／フォグ　純正フルセグナビ　Ｂｌｕｅｔｏｏｔｈ　パノラミックビューモニター　プリクラッシュセースティ　シートヒーター　ＥＴＣ,5D,1.0,G|無鉛レギュラーガソリン,156.6万円,163.2万円,2020年,検2027年03月,リ済込,6.7万K,パールホワイトＩＩＩ　／ブラックマイカメタリック,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
掲載,レクサス,ＬＳ,ＬＳ６００ｈ　バージョンＣ　Ｉパッケージ,４ＷＤ　ハイブリッド　木目＋本革ステアリング　ハンドルヒーター　本革シート　アラカンターラルーフ　１２．３インチワイドディスプレイ　純正ナビ　パワーシート＆メモリー　クルコン　シートベンチレーション,4D,5.0,HB|無鉛プレミアムガソリン,209.8万円,222.2万円,2016年,検2027年01月,リ済込,10.5万K,ソニッククォーツ,保証付　期間条件有り,整備付,無し,○,×,○,×,○,×,○,×,×,×,×,○,×,×
掲載,トヨタ,ハイエースバン,スーパーＧＬ　ダークプライムＩＩ,４ＷＤ　ディーゼルターボ　社外１１型フローティングナビ　フルセグ　Ｂｌｕｅｔｏｏｔｈ　バックカメラ　プリクラッシュセーフティ　車線逸脱防止　シートカバー着用　ＥＴＣ　オートハイビーム　フォグ　スマキー,5D,2.8,D|軽油,332.5万円,338.2万円,2019年,車検整備付,リ済込,10.1万K,グレーメタリック,保証付　期間条件有り,整備付,無し,○,×,○,○,○,×,○,×,×,×,×,○,×,×
